Metabolite,HMDB.Subclass
isoleucine + leucine,Amino Acids
isoleucine,Amino Acids
valine,Amino Acids
alanine,Amino Acids
unkm1.53,Unknown
unkm1.62,Unknown
lysine,Amino Acids
quinate,Alcohols
GABA,Amino Acids
glutamate,Amino Acids
glutamine,Amino Acids
citrate,Carboxylic Acids
aspartate,Amino Acids
asparagine,Amino Acids
choline,Ammonium Salts
inositol,Alcohols
fructose,Carbohydrates
pyroglutamate,Amino Acids
malate,Beta Hydroxy Acids
glucose_C1_beta,Carbohydrates
Unkm5.10,Unknown
mannose,Carbohydrates
glucose_C1_alpha,Carbohydrates
galactose,Carbohydrates
galacturonate,Carbohydrates
unkS5.39,Unknown
saccharose,Carbohydrates
unkM5.83,Unknown
adenosine_like,Purine & Pyrimidines
chlorogenate,Alcohols
fumarate,Carboxylic Acids
tyrosine,Amino Acids
phenylalanine,Amino Acids
tryptophane,Amino Acids
unkM7.62,Unknown
uridine_like,Purine & Pyrimidines
UDP_like,Purine & Pyrimidines
trigonelline,Alkaloid
