SampleID,Time
F3.049,Day08
F3.097,Day08
F3.002,Day08
F3.050,Day08
F3.098,Day08
F3.013,Day15
F3.061,Day15
F3.109,Day15
F3.062,Day15
F3.110,Day15
F3.025,Day28
F3.073,Day28
F3.121,Day28
F3.026,Day28
F3.074,Day28
F3.122,Day28
F3.085,Day55
F3.133,Day55
F3.038,Day55
F3.086,Day55
F3.134,Day55
F4.001,Day08
F4.009,Day08
F4.065,Day08
F4.005,Day08
F4.069,Day08
F4.037,Day08
F4.017,Day15
F4.045,Day15
F4.021,Day28
F4.049,Day28
F4.081,Day28
F4.025,Day28
F4.053,Day28
F4.085,Day28
F4.029,Day55
F4.057,Day55
F4.089,Day55
F4.033,Day55
F4.061,Day55
F4.093,Day55
