Metabolite,Count_Day08,Count_Day15,Count_Day28,Count_Day55,Mean_Day08,Mean_Day15,Mean_Day28,Mean_Day55,Fold_change_Day08_vs_Day15,Fold_change_Day08_vs_Day28,Fold_change_Day08_vs_Day55,P_value_A_Day08_vs_Day15,P_value_A_Day08_vs_Day28,P_value_A_Day08_vs_Day55,Flag_A_Day08_vs_Day15,Flag_A_Day08_vs_Day28,Flag_A_Day08_vs_Day55
isoleucine + leucine,11,7,12,11,2.6476085890118513,2.7158345850307524,2.6945393074873754,2.7262709461932038,-0.06822599601890111,-0.0469307184755241,-0.0786623571813525,0.047630977340764075,0.0532469078414513,0.005866657536350374,-1,0,-1
isoleucine,11,7,12,11,2.3967111339479206,2.6636433029394815,2.73413169892652,2.611238085011048,-0.2669321689915609,-0.3374205649785993,-0.21452695106312758,9.093396706100497e-7,7.480404612779377e-11,6.60226089651724e-7,-1,-1,-1
valine,11,7,12,11,2.455300670954551,2.6145895067291973,2.676471851182315,2.2993483027124912,-0.15928883577464648,-0.22117118022776427,0.1559523682420596,7.047464989699491e-4,8.339164021434959e-7,2.064987228705494e-4,-1,-1,1
alanine,11,7,12,11,2.7646796193543364,2.8764901031813372,2.831431039345544,2.7715996745146447,-0.11181048382700087,-0.0667514199912076,-0.006920055160308358,0.08637443173240612,0.2201200157269089,0.8864735967468648,0,0,0
unkm1.53,11,7,12,11,2.249996654344224,2.557955741725864,2.5044595946142505,2.2802300023369746,-0.30795908738164,-0.25446294027002647,-0.03023334799275057,3.0173514183293404e-4,2.0670889705407702e-4,0.6503485439875791,-1,-1,0
unkm1.62,11,7,12,11,2.0479517245056904,1.2742332626434176,0.5309687617516499,0.6713841623005407,0.7737184618622728,1.5169829627540405,1.3765675622051496,2.8341285934979784e-4,6.292118673312679e-11,6.496784623491806e-10,1,1,1
lysine,11,7,12,11,1.873989671473433,1.78428141746721,1.8458894712211495,2.061669977618137,0.08970825400622306,0.028100200252283436,-0.18768030614470388,0.5264454607032283,0.6455946272794871,0.011033615297834332,0,0,-1
quinate,11,7,12,11,2.6112318585943144,2.3771844528017083,1.8518920742422373,1.7003916666697612,0.23404740579260608,0.759339784352077,0.9108401919245532,1.179892319621163e-4,5.643232992335505e-18,3.7240006258407526e-20,1,1,1
GABA,11,7,12,11,3.0688925846043307,3.0096240133758942,3.041431109908224,3.014565770829178,0.05926857122843643,0.027461474696106603,0.054326813775152694,0.029582447401641947,0.15259735648297026,0.01717690494288887,1,0,1
glutamate,11,7,12,11,2.216158358613396,2.382340127024315,2.3567540060599383,3.0117403365385313,-0.16618176841091925,-0.1405956474465424,-0.7955819779251354,0.06987606897204948,0.05124245057950295,4.3635532396705787e-14,0,0,-1
glutamine,11,7,12,11,2.6826825219547326,2.710851841105376,2.7961191459100756,2.9825691688405715,-0.028169319150643357,-0.11343662395534304,-0.299886646885839,0.6066463416281078,0.00306600899220581,4.83873630825816e-10,0,-1,-1
citrate,11,7,12,11,3.6020174461363412,3.5634773386914818,3.48213636283149,3.5808625424265306,0.03854010744485947,0.11988108330485137,0.021154903709810657,0.06987606897204948,1.4545292109448069e-9,0.15402884463467303,0,1,0
aspartate,11,7,12,11,2.4201828681029047,2.315020607407935,2.392455772342212,2.930092120512562,0.10516226069496959,0.027727095760692766,-0.5099092524096571,0.03296599825395757,0.4335720357258149,7.150969461399221e-16,1,0,-1
