Metabolite,F3.049,F3.097,F3.002,F3.050,F3.098,F3.013,F3.061,F3.109,F3.062,F3.110,F3.025,F3.073,F3.121,F3.026,F3.074,F3.122,F3.085,F3.133,F3.038,F3.086,F3.134,F4.001,F4.009,F4.065,F4.005,F4.069,F4.037,F4.017,F4.045,F4.021,F4.049,F4.081,F4.025,F4.053,F4.085,F4.029,F4.057,F4.089,F4.033,F4.061,F4.093
isoleucine + leucine,6.42417269,6.526328389,6.602803056,6.610301533,6.625967606,6.744657258,7.027458399,7.156322619,7.011168253,6.412120978,6.455120217,6.629723574,6.754851332,6.257926256,6.862220784,6.668249844,7.001074484,6.621610754,6.632839275,7.174713328,6.751589703,6.141366115,6.301812544,6.453241677,6.149864467,6.339574269,6.281202606,6.111768973,6.59702978,6.743644246,6.409131771,6.901493184,6.488159971,6.584004611,6.654689988,6.394375859,6.680483018,7.022583062,7.036711685,6.723370662,6.36646451
isoleucine,5.326784563,5.558373731,6.442386952,5.386716436,5.28366074,6.551929301,6.847667701,6.984713444,6.778998129,6.164817405,6.52623702,6.669228127,6.857154055,6.51368455,6.99987448,6.747599081,6.409755176,6.110616945,6.047864798,6.561790149,6.222049868,5.547022684,4.787259771,5.433209983,5.134453062,5.248248583,5.187127233,5.586874303,6.523226454,6.962234284,6.771673845,7.119742747,6.741829858,6.838649767,6.866180961,5.926510923,6.389978068,6.589356752,6.540277344,6.200169128,5.720831018
valine,5.489359918,5.516486311,6.270393431,5.571988092,5.479432614,6.260725496,6.531323204,6.726610101,6.474992158,5.953383724,6.283727269,6.364154383,6.501232652,6.308828287,6.754442922,6.359720498,5.454173519,4.900830298,5.088093756,5.127354415,5.001327917,5.675525617,5.275788027,5.694292664,5.552971611,5.590355665,5.577556866,5.542066175,6.401975229,6.673736634,6.583129831,6.862107691,6.494368265,6.599596083,6.634214525,4.390690038,4.850203076,5.500122266,5.525993558,5.23528456,4.3930548
alanine,6.878396769,6.91426452,6.920251547,7.018998792,6.988218649,6.993789509,7.682588794,8.261127221,7.392220313,7.078664756,7.122178562,6.958317186,6.84911114,7.118493962,7.537973116,6.932781883,6.175196765,7.38730271,7.876923094,6.742533864,7.791675904,7.054859419,6.87401051,7.187434152,6.540668271,7.274507907,6.762819169,6.930700515,8.327748954,7.364121884,7.242077231,7.713839864,7.42880138,7.353018216,7.724324471,6.319016016,7.496845415,6.00008084,7.045913814,7.566562269,6.647012051
unkm1.53,4.866682313,5.087633124,5.424671925,4.84687488,4.747073119,5.490531503,6.313686618,6.8341539,6.137764953,5.555020267,5.724595321,5.50513523,5.3578573,5.510567244,6.069680926,5.40425017,4.095768526,5.405925744,5.728050725,4.603962168,5.704011603,5.007213241,4.770890419,5.111218639,4.382182353,4.892824052,4.421377125,5.190779226,6.816493975,5.99011717,5.668530978,6.314122876,5.845959439,5.941939373,6.354160739,4.280352243,5.503659406,4.139983107,5.132617706,5.580859921,4.822959006
unkm1.62,4.281502737,4.124405763,2.863275128,4.893987813,4.915736333,1.755090673,1.931053305,2.494002559,2.638342265,2.414177312,1.624528773,1.788176173,1.911485172,0.998867674,1.64741574,1.644215467,1.959679524,2.67157263,0.925296618,1.937804873,1.265247512,3.560660272,4.910409314,4.183956608,4.372320476,4.242075401,4.644107065,3.57616505,2.927455506,1.288948112,1.938150327,1.294519837,1.602140631,1.440169595,0.957368113,1.395928404,1.237457379,2.571236149,1.928712485,1.647257317,1.259811171
lysine,3.623136549,3.690098698,3.82740904,4.091148046,4.12179054,3.740806131,3.94648647,4.058676285,3.676629488,3.586425149,3.561006697,3.822990431,3.854981097,3.558886521,4.055002779,3.728219951,4.590058255,4.1001309,4.107908344,4.780331119,4.193849357,3.544437883,3.866657114,3.846298155,3.613918957,3.524557529,3.511451961,2.318588098,3.654954338,3.772903928,3.3445369,4.005365504,3.364355535,3.535463128,3.555192476,3.892988743,4.066021625,4.467149522,4.637183671,4.250209766,3.924893796
quinate,6.37613102,6.139751282,5.391472556,6.373783248,6.121411442,5.325612978,4.718992787,5.167116861,5.070724257,5.012539801,3.407340843,3.803330172,3.875490142,3.918693136,3.50277689,3.508159091,3.762477839,3.416510858,3.145298289,3.459611634,3.031936924,5.795194202,6.769622109,6.311193289,6.218041905,6.545253562,6.772020145,6.037003302,5.966672132,3.973864252,3.6544289,3.600526443,3.573414662,3.504193554,4.006309894,3.283517871,3.313275264,3.457439424,3.541720884,3.288992184,2.903199704
GABA,8.258037136,8.196688762,8.491945731,8.793542385,8.484242398,8.277498072,8.02836626,8.263989961,8.395512278,8.13668711,8.128042269,8.395253154,8.648236354,8.865390087,8.313576482,8.594911408,8.632476447,8.126104007,7.848097194,8.622156962,7.913827711,8.619894477,8.791579568,8.38384844,9.089808929,8.708172328,8.538444129,8.201488157,8.312430697,8.543254865,8.394642043,8.154396557,8.35964887,8.253234785,8.334757248,8.158221156,8.300888466,8.56275072,8.622554758,8.250862276,7.823163846
glutamate,4.761070949,4.611079663,5.451566303,4.883794093,3.766260361,5.886670874,4.884866289,5.437181322,5.444522683,5.423122206,5.08103057,5.214111721,5.407318033,7.014080557,4.9782545,5.411894311,8.603216706,8.097991337,8.046601304,9.093951838,8.372263,4.978807725,5.096244675,4.403098617,5.44912116,4.614167281,4.469281619,4.854967256,5.439023613,5.515455666,3.817230027,5.252729368,4.97264481,5.107379375,5.56013518,7.965745792,8.328053713,7.946678751,8.197782438,7.865234992,8.178429737
